food_name,origin_country,expiry_time
Banana,Ecuador,5-7 days
Apple,United States,2-3 weeks
Carrot,United States,2-4 weeks
Cheese,France,1-4 weeks
Rice,Thailand,2 years
Bread,United States,5-7 days
Tomato,Mexico,1-2 weeks
Milk,United States,1 week
Chicken,United States,1-2 days
Fish,Japan,1-2 days
Pasta,Italy,2 years
Pizza,Italy,2-3 days
Gelato,Italy,1-2 weeks
Prosciutto,Italy,2-3 weeks
Biscotti,Italy,2-3 months
Parmigiano-Reggiano,Italy,1-2 years
Olive Oil,Italy,1-2 years
Espresso,Italy,1-2 weeks
Risotto,Italy,3-4 days
